name,weight
Rafeiro Do Alentejo,115.75
Rafeiro Do Alentejo,121
Rafeiro Do Alentejo,110.5
Rat Terrier,23.5
Rat Terrier,23.5
Rat Terrier,23.5
Redbone Hound,60
Redbone Hound,65
Redbone Hound,55
Soft Coated Wheaten Terrier,35
Rhod Ridgeback,77.5
Rhod Ridgeback,85
Rhod Ridgeback,70
Rottweiler,100
Rottweiler,110
Rottweiler,90
Russian Wolfhound,81.25
Russian Wolfhound,87.5
Russian Wolfhound,75
Saint Berdoodle,155
Saint Berdoodle,175
Saint Berdoodle,135
Bull Terrier Miniature,28
Old English Bulldog,55
St. Bernard Smooth Coat,160
St. Bernard Smooth Coat,160
St. Bernard Smooth Coat,160
St. Bernard Rough Coat,160
Picardy Sheepdog,60
Saluki,50
Saluki,50
Saluki,50
Samoyed,48.75
Samoyed,55
Samoyed,42.5
Schapendoes,33
Schapendoes,33
Schapendoes,33
Schipperke,14
Schipperke,14
Schipperke,14
Schnauzer Giant,77.5
Miniature Schnauzer,14
Standard Schnauzer,40
Standard Schnauzer,42.5
Standard Schnauzer,37.5
Schnoodle,15
Schnoodle,15
Schnoodle,15
Scottish Deerhound,91.25
Scottish Deerhound,97.5
Scottish Deerhound,85
Scottish Terrier,20
Scottish Terrier,20.5
Scottish Terrier,19.5
Sealyham Terrier,24.25
Sealyham Terrier,28.5
Sealyham Terrier,20
Shepadoodle,65
Shepadoodle,65
Shepadoodle,65
Shetland Sheepdog,20
Shetland Sheepdog,20
Shetland Sheepdog,20
Shiba Inu,25
Shiba Inu,25
Shiba Inu,25
Shih Tzu,12.5
Shih Tzu,12.5
Shih Tzu,12.5
Shihpoo,12.5
Shihpoo,12.5
Shihpoo,12.5
Shiloh Shepherd,130
Shiloh Shepherd,150
Shiloh Shepherd,110
Alaskan Husky,48
Siberian Husky,47.5
Siberian Husky,52.5
Siberian Husky,42.5
Silky Terrier,9.5
Silky Terrier,9.5
Silky Terrier,9.5
Skye Terrier,19
Skye Terrier,19
Skye Terrier,19
Sloughi,52.5
Sloughi,52.5
Sloughi,52.5
Soft Coated Wheaton Terrier,37.5
Soft Coated Wheaton Terrier,40
Soft Coated Wheaton Terrier,35
South African Boerboel,177
South African Boerboel,177
South African Boerboel,177
Boerboel,175
South Russian Ovcharka,109
South Russian Ovcharka,109
South Russian Ovcharka,109
Spinone Italiano,72
Spinone Italiano,72
Spinone Italiano,72
Stabyhoun,50
Stabyhoun,55
Stabyhoun,45
Staffordshire Bull Terrier,30.25
Staffordshire Bull Terrier,31.5
Staffordshire Bull Terrier,29
Staffordshire,30.25
Staffordshire,31.5
Staffordshire,29
Sussex Spaniel,42
Sussex Spaniel,42
Sussex Spaniel,42
Swedish Vallhund,30
Swedish Vallhund,30
Swedish Vallhund,30
Thai Ridgeback,63
Thai Ridgeback,63
Thai Ridgeback,63
Tibetan Mastiff,155
Tibetan Mastiff,155
Tibetan Mastiff,155
Tibetan Spaniel,12
Tibetan Spaniel,12
Tibetan Spaniel,12
Tibetan Terrier,24
Tibetan Terrier,24
Tibetan Terrier,24
Tosa Inu,130
Tosa Inu,145
Tosa Inu,115
Treeing Tennessee Brindle,40
Treeing Tennessee Brindle,40
Treeing Tennessee Brindle,40
Treeing Walker Coonhound,60
Treeing Walker Coonhound,60
Treeing Walker Coonhound,60
Vizsla,55
Vizsla,55
Vizsla,55
Weimaraner,77.5
Weimaraner,77.5
Weimaraner,77.5
Weimardoodle,57.5
Weimardoodle,57.5
Weimardoodle,57.5
"Welsh Corgi, Cardigan",31.75
Dalmatian,50
Cardigan Welsh Corgi,34
Cardigan Welsh Corgi,29.5
Pembroke Welsh Corgi,26
Pembroke Welsh Corgi,27
Pembroke Welsh Corgi,25
Welsh Springer Spaniel,40
Welsh Springer Spaniel,40
Welsh Springer Spaniel,40
Welsh Terrier,35
Welsh Terrier,37.5
Welsh Terrier,32.5
West Highland,18
West Highland,18
West Highland,18
Westiepoo,25
Westiepoo,25
Westiepoo,25
Whippet,30
Whippet,30
Whippet,30
Whoodles,30
Whoodles,30
Whoodles,30
Wirehaired Pointing Griffon,55
Wirehaired Pointing Griffon,55
Wirehaired Pointing Griffon,55
Wolf Hybrid,100
Wolf Hybrid,100
Wolf Hybrid,100
Xoloitzcuintli,22.5
Xoloitzcuintli,22.5
Xoloitzcuintli,22.5
Yorkshire Terrier,7
Yorkshire Terrier,7
Yorkshire Terrier,7
Yorkshire,7
Spanish Water Dog,40
Rex,9
Cirneco,23
